Tag;Datum;Zeit;Hallennummer;Inhalt Tooltip Halle;Spielnummer;Liga;Staffelkurzbezeichnung;Heimmannschaft;Gastmannschaft;Ergebnis;Halbzeitergebnis;SR A; Verein SR A; SR B; Verein SR B; SR C; Verein SR C; SR D; Verein SR D
Sat.;01.07.2017;00:00;;;1;ÜBOL WA;ÜBOL Staffel NW;TSV Pfändhausen;TSV Lohr;="0:0";="0:0";;;;;;;;
Fri.;07.07.2017;20:30;270180;Neugablonz, Sporthalle an der Turnerstrasse;20171076;Pokal M;Pokal VII;SG Kaufbeuren/Neugablonz;TSV Herrsching;="32:31";="0:0";Finsterwalder Rene;TSV Schongau;Hebendanz Benjamin;FC Bayern München;;;;
Sun.;09.07.2017;17:00;280150;Heufeld, Schulsporthalle;20172081;Pokal F;Pokal F R1 VIII;SV Bruckmühl;TSV Brannenburg;="10:32";="6:16";Erhart Herbert;TSV Unterhaching;;;;;;
Mon.;10.07.2017;20:30;230266;Nürnberg, ESV Flügelrad;20172030;Pokal F;Pokal F R1 III;ESV Flügelrad;1.FCN Handball;="15:36";="7:16";Hawly Moritz;MTV Stadeln e. V.;Hawly Tim;Post SV Nürnberg;;;;
Thu.;13.07.2017;19:00;210141;Höchberg Mainlandhalle;20172011;Pokal F;Pokal F R1 I;TG 1862 Höchberg;HSV Bergtheim II;="30:11";="0:0";Bitsch Alexander;MHV Schweinfurt 09 e.V.;Schmitt Manuel;MHV Schweinfurt 09 e.V.;;;;
Thu.;13.07.2017;20:30;280180;Kirchheim, Schulsporthalle;20171082;Pokal M;Pokal VIII;Kirchheimer SC;TSV Grafing;="23:34";="0:0";Erhart Herbert;TSV Unterhaching;;;;;;
Sat.;15.07.2017;00:00;;;20171061;Pokal M;Pokal VI;DJK Rohrbach;TG Landshut;="0:0";="0:0";;;;;;;;
Sat.;15.07.2017;14:00;210026;Bergtheim Willi-Sauer-Halle;20172010;Pokal F;Pokal F R1 I;HSG Pleichach;MHV Schweinf.09;="0:0";="0:0";;;;;;;;
Sat.;15.07.2017;14:00;220023;Bad Rodach, Bayernhalle;20172020;Pokal F;Pokal F R1 II;TSV Weitramsdorf;HSG Fichtelgebirge;="25:23";="1:1";Cyranek Dirk;TS Coburg;Posanski Uwe;TS Coburg;;;;
Sat.;15.07.2017;14:00;240000;Altdorf, Schulturnhalle Grundschule;20171041;Pokal M;pokal IV;TV 1881 Altdorf;HC Forchheim;="22:23";="0:0";Eckl Peter;HG im TV 1861 Amberg e.V.;Prasse Herbert;HG im TV 1861 Amberg e.V.;;;;
Sat.;15.07.2017;14:30;280260;Neubiberg, Sportzentrum;20172083;Pokal F;Pokal F R1 VIII;HSG Neubiberg-Ottobrunn;TSV Trudering II;="0:0";="0:0";Sikman Goran;FC Bayern München;;;;;;
Sat.;15.07.2017;15:00;260164;Ingolstadt, Bezirkssportanlage Süd-Ost;20171065;Pokal M;Pokal VI;HG Ingolstadt;ASV Dachau;="22:32";="11:18";Krämer Maximilian;TSV Allach 09 ;Mund Michael;TSV Allach 09 ;;;;
Sat.;15.07.2017;15:00;270120;Partenkirchen, Sporthalle Zugspitzrealschule ;20171070;Pokal M;Pokal VII;TSV Partenkirchen;SC U`hfn/Germering;="22:29";="10:18";Niederlöhner Joachim;SSV Ettal;Spindler Rüdiger;FC Bayern München;;;;
Sat.;15.07.2017;15:00;270364;Sonthofen, Allgäusporthalle ;20171072;Pokal M;Pokal VII;TSV Sonthofen;TSV Weilheim;="30:36";="15:19";Förster Ingo;TSV Mindelheim;Pankler Andrei;TSV Unterhaching;;;;
Sat.;15.07.2017;15:30;270306;Ottobeuren, Schulzentrum ;20172070;Pokal F;Pokal F R1 VII;TSV Ottobeuren;HSG Würm-Mitte;="30:31";="11:11";Graf Markus;HSG Schwab/kirchen;Westermaier Tobias;HSG Schwab/kirchen;;;;
Sat.;15.07.2017;16:00;260480;Zolling, Dreifach-Turnhalle;20172062;Pokal F;Pokal F R1 VI;SVA Palzing;TG Landshut;="0:0";="0:0";;;;;;;;
Sat.;15.07.2017;17:00;260400;Taufkirchen, Realschulturnhalle;20171060;Pokal M;Pokal VI;TSV Taufkirchen/vils;SpVgg Altenerding;="16:33";="6:16";Malta Gregor;TSV Schleißheim;Riemenschneider Kai;TSV Schleißheim;;;;
Sat.;15.07.2017;17:30;270306;Ottobeuren, Schulzentrum ;20171074;Pokal M;Pokal VII;TSV Ottobeuren;HSG Würm-Mitte;="22:26";="10:11";Schaub Stefan;SG Biessenhofen-Marktoberdorf;Seidel Philipp;SG Kempten-Kottern;;;;
Sat.;15.07.2017;18:00;270123;Geretsried, Hauptschule ;20171071;Pokal M;Pokal VII;HSG Isar-Loisach;SC Weßling;="25:23";="10:10";Esser Sebastian;TSV Weilheim;König Thomas;TSV Weilheim;;;;
Sat.;15.07.2017;18:00;220400;Tirschenreuth, Gymnasium;20171020;Pokal M;pokal II;HC Tirschenreuth;HSV Hochfranken;="14:33";="10:14";Dietel Rene;TV Marktleugast;Roßner Stefan;TV Münchberg;;;;
Sat.;15.07.2017;18:30;210343;Rottendorf Erasmus-Neustetter Halle;20171011;Pokal M;pokal I;Handball-Club Unterfranken;TSV Lohr;="18:25";="0:0";Geis Jochen;HSC Bad Neustadt;Scheuplein Peter;HSC Bad Neustadt;;;;
Sat.;15.07.2017;19:00;250064;Donauwörth, Neudegger-Halle ;20172051;Pokal F;Pokal F R1 V;VSC Donauwörth;Kissinger SC;="27:13";="15:7";Krabler Roland;TSV Bäumenheim;Müller Bernhard;TSV Bäumenheim;;;;
Sat.;15.07.2017;19:00;260225;Moosburg, Sporthalle Hauptschule;20172061;Pokal F;Pokal F R1 VI;SG Moosburg e.V.;HG Ingolstadt II;="22:13";="12:8";Müller Adrian;TG Landshut;Scheibengraber Werner;TG Landshut;;;;
Sat.;15.07.2017;19:00;260224;Metten, St. Benedikt Halle;20171063;Pokal M;Pokal VI;SSG Metten;TSV 1861 Mainburg;="0:0";="0:0";;;;;;;;
Sat.;15.07.2017;19:00;240082;Erlangen, Karl-Heinz-Hiersemann Halle;20171040;Pokal M;pokal IV;TV Erl.-Bruck;SG Regensburg;="0:0";="0:0";Brucker Jonas;HC Weiden;Fembacher Philipp;ATSV 1871 Kelheim e.V.;;;;
Sat.;15.07.2017;20:00;250121;Göggingen, Anton-Bezler-Halle;20171052;Pokal M;pokal V;TSV Göggingen;TSV Niederraunau;="22:28";="0:0";Malovetz Mario;TSV Friedberg;Schnitzlein Rene;TSV Friedberg;;;;
Sun.;16.07.2017;12:30;280320;Prien, Ludwig-Thoma-Halle;20172080;Pokal F;Pokal F R1 VIII;TuS Prien;TSV Grafing;="14:32";="0:0";Prinz Theresa;SG Süd/Blumenau;Uhlmann Danny;SG Süd/Blumenau;;;;
Sun.;16.07.2017;14:30;260100;Freising, Luitpoldhalle;20172067;Pokal F;Pokal F R1 VI;HSG Freising-Neufahrn;ESV Neuaubing;="19:27";="0:0";Faust Martin;SSV Schrobenhausen;Sentürk Altan-Kenan;SSV Schrobenhausen;;;;
Sun.;16.07.2017;16:00;220260;Naila, Frankenhalle;20172021;Pokal F;Pokal F R1 II;HG Naila;SG Kunstadt-Weidhausen;="10:16";="0:0";Jäger Armin;TS Schwarzenbach;Uzun Cem;TV Helmbrechts;;;;
Sun.;16.07.2017;16:00;240080;Eckental, Sporthalle Eschenau;20172041;Pokal F;Pokal F R1 IV;HG Eckental;SV Obertraubling;="16:17";="0:0";Guzik Werner;HSG Nabburg-Schwarzenfeld;Hunzinger Reiner;HSG Nabburg-Schwarzenfeld;;;;
Sun.;16.07.2017;16:00;270320;Peißenberg, Glückauf-Halle ;20172071;Pokal F;Pokal F R1 VII;TSV Peißenberg;SC U`hfn/Germering;="20:16";="6:11";Finsterwalder Rene;TSV Schongau;Häuserer Roman;TSV Schongau;;;;
Sun.;16.07.2017;16:30;260100;Freising, Luitpoldhalle;20171064;Pokal M;Pokal VI;HSG Freising-Neufahrn;MTV  Ingolstadt;="22:39";="0:0";Faust Martin;SSV Schrobenhausen;Sentürk Altan-Kenan;SSV Schrobenhausen;;;;
Sun.;16.07.2017;17:00;250125;Günzburg, Sporthalle ;20172050;Pokal F;Pokal F R1 V;VfL Günzburg;TV Gundelfingen;="26:29";="0:0";Krabler Roland;TSV Bäumenheim;Müller Bernhard;TSV Bäumenheim;;;;
Sun.;16.07.2017;17:00;240148;Hannberg, Seebachgrundhalle;20171042;Pokal M;pokal IV;HSG SGS Erl/HC Niederl;SV 08 Auerbach;="28:29";="14:13";Abel Peter;MTV Stadeln e. V.;Herpolsheimer Christian;TV 61 Erlangen-Bruck;;;;
Sun.;16.07.2017;17:00;250183;Königsbrunn, Willi-Oppenländer-Halle;20171053;Pokal M;pokal V;BHC Königsbr.09;TV Gundelfingen;="16:19";="5:8";Herrmann Maurice;TSV Neusäss;Salesch Markus;TSV Schwabmünchen;;;;
Sun.;16.07.2017;18:00;240080;Eckental, Sporthalle Eschenau;20171044;Pokal M;pokal IV;HG Eckental;SV Obertraubling;="33:26";="0:0";Guzik Werner;HSG Nabburg-Schwarzenfeld;Lippmann Andreas;HSG SGS Erlangen/HC Niederlindach;;;;
Tue.;18.07.2017;19:30;230001;Ansbach, Beckenweiherhalle;20172031;Pokal F;Pokal F R1 III;HG Ansbach;SG Schwabach/Roth;="15:22";="6:14";Homa David;MTV Stadeln e. V.;Mehl Oliver;MTV Stadeln e. V.;;;;
Tue.;18.07.2017;20:00;260480;Zolling, Dreifach-Turnhalle;20172062;Pokal F;Pokal F R1 VI;SVA Palzing;TSV Herrsching;="22:28";="8:17";Herten Norbert;HSG Straubing2008 e.V.;Semmler Steffen;HSG Straubing2008 e.V.;;;;
Tue.;18.07.2017;20:15;270361;Schongau, Lechsporthalle ;20171073;Pokal M;Pokal VII;TSV Schongau;Eichenauer SV;="27:33";="0:0";Niederlöhner Joachim;SSV Ettal;Spegele Markus;SC Unterpfaffenhofen/Germering;;;;
Tue.;18.07.2017;20:15;230266;Nürnberg, ESV Flügelrad;20171032;Pokal M;pokal III;ESV Flügelrad;MTV Stadeln;="26:30";="14:14";Escher Dirk;TV Roßtal;Schwarz Holger;TSV Altenberg;;;;
Wed.;19.07.2017;19:45;270102;Fürstenfeldbruck, Sporthalle am Tulpenfeld ;20172072;Pokal F;Pokal F R1 VII;TuS Fürstenfeldbruck;TSV Weilheim;="13:23";="7:9";Hebendanz Benjamin;FC Bayern München;Jaschunsky Michael;TSV Herrsching;;;;
Thu.;20.07.2017;19:45;280254;München, Sporthalle PSV München;20172082;Pokal F;Pokal F R1 VIII;PSV München;TSV Vaterstetten;="30:32";="0:0";Erhart Herbert;TSV Unterhaching;Schaumann Johanna;TSV Forstenried;;;;
Thu.;20.07.2017;20:00;240365;Sulzbach-Rosenberg, Krötensee-Halle;20172040;Pokal F;Pokal F R1 IV;HC Sulzb.Rosenb.;HC Erlangen;="22:29";="9:17";Eckl Peter;HG im TV 1861 Amberg e.V.;Hunzinger Reiner;HSG Nabburg-Schwarzenfeld;;;;
Thu.;20.07.2017;20:00;280300;Ottobrunn, Sportpark;20171086;Pokal M;Pokal VIII;HSG Neubiberg-Ottobrunn;TuS Prien;="29:32";="0:0";Sikman Goran;FC Bayern München;;;;;;
Thu.;20.07.2017;20:00;230001;Ansbach, Beckenweiherhalle;20171030;Pokal M;pokal III;HG Ansbach;HSG Lauf/Heroldsberg;="17:31";="10:15";Behrens Christopher;ESV Flügelrad Nürnberg;Dechert Christian;ESV Flügelrad Nürnberg;;;;
Fri.;21.07.2017;20:00;220140; Helmbrechts Sporthalle Helmbrechts;20171022;Pokal M;pokal II;TV Helmbrechts;HaSpo Bayreuth;="21:20";="8:7";Cyranek Dirk;TS Coburg;Posanski Uwe;TS Coburg;;;;
Fri.;21.07.2017;20:15;240040;Cham, Sporthalle Jos.-v.-Frauenhofer Gymnasium;20171043;Pokal M;pokal IV;ASV 1863 Cham;HC Sulzb.Rosenb.;="26:17";="0:0";Guzik Werner;HSG Nabburg-Schwarzenfeld;Hunzinger Reiner;HSG Nabburg-Schwarzenfeld;;;;
