Tag;Datum;Zeit;Hallennummer;Inhalt Tooltip Halle;Spielnummer;Liga;Staffelkurzbezeichnung;Heimmannschaft;Gastmannschaft;Ergebnis;Halbzeitergebnis;SR A; Verein SR A; SR B; Verein SR B; SR C; Verein SR C; SR D; Verein SR D
Sat.;15.07.2017;19:00;250064;Donauwörth, Neudegger-Halle ;20172051;Pokal F;Pokal F R1 V;VSC Donauwörth;Kissinger SC;="27:13";="15:7";Krabler Roland;TSV Bäumenheim;Müller Bernhard;TSV Bäumenheim;;;;
Sat.;15.07.2017;20:00;250121;Göggingen, Anton-Bezler-Halle;20171052;Pokal M;pokal V;TSV Göggingen;TSV Niederraunau;="22:28";="0:0";Malovetz Mario;TSV Friedberg;Schnitzlein Rene;TSV Friedberg;;;;
Sun.;16.07.2017;17:00;250125;Günzburg, Sporthalle ;20172050;Pokal F;Pokal F R1 V;VfL Günzburg;TV Gundelfingen;="26:29";="0:0";Krabler Roland;TSV Bäumenheim;Müller Bernhard;TSV Bäumenheim;;;;
Sun.;16.07.2017;17:00;250183;Königsbrunn, Willi-Oppenländer-Halle;20171053;Pokal M;pokal V;BHC Königsbr.09;TV Gundelfingen;="16:19";="5:8";Herrmann Maurice;TSV Neusäss;Salesch Markus;TSV Schwabmünchen;;;;
Sat.;22.07.2017;19:00;250063;Dinkelscherben,Sporthalle Reischenau ;20171051;Pokal M;pokal V;Dinkelscherben;TSV Haunstetten;="15:35";="6:18";Herrmann Maurice;TSV Neusäss;Salesch Markus;TSV Schwabmünchen;;;;
Sun.;23.07.2017;16:30;250064;Donauwörth, Neudegger-Halle ;20171050;Pokal M;pokal V;VSC Donauwörth;Kissinger SC;="27:28";="11:14";Bräunlein Franz;TSV 1909 Gersthofen e.V.;Schwenger Hermann;DJK Augsburg-Hochzoll;;;;
Tue.;25.07.2017;20:00;250101;Friedberg, Sporthalle des TSV Friedberg;20171054;Pokal M;pokal V;TSV Friedberg;VfL Günzburg;="28:21";="12:11";Heimrich Michael;TSV Herrsching;Kopp Rainer;TSV 1909 Gersthofen e.V.;;;;
Sat.;16.09.2017;12:00;250008;Haunstetten, Sporthalle  TSV;20042201;ÜBOL MC;ÜBOL Staffel W;TSV Haunstetten;BHC Königsbr.09;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;12:15;250361;Schwabmünchen, Sporthalle an der Grundschule ;20061001;LL WC;Landesliga Staffel Nord;Schwabmünchen;TSG Estenfeld;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;12:15;250101;Friedberg, Sporthalle des TSV Friedberg;20043901;ÜBL MC;ÜBL Staffel SW 2 ;TSV Friedberg II;TSV Göggingen;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;13:45;250008;Haunstetten, Sporthalle  TSV;20061002;LL WC;Landesliga Staffel Nord;TSV Haunstetten;SC Vöhringen;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;14:00;250101;Friedberg, Sporthalle des TSV Friedberg;20040001;BY MC;Bayernliga;TSV Friedberg;SG DJK Rimpar;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;14:00;250361;Schwabmünchen, Sporthalle an der Grundschule ;20041201;LL MC;Landesliga Staffel Süd;Schwabmünchen;TSV Ottobeuren;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;14:00;250461;Wertingen, Sporthalle Gymnasium Wertingen;20042202;ÜBOL MC;ÜBOL Staffel W;TSV Wertingen;JSG Burlafingen/Neu-Ulm;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;15:30;250180;Kissing, Paartal-Halle;25014501;BZK M;Bezirksklasse Staffel Ost;Kissinger SC II;PSV  Aug.;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;15:30;250008;Haunstetten, Sporthalle  TSV;20051202;LL WA;Landesliga Staffel Süd;TSV Haunstetten;TSV Aichach;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;15:30;250125;Günzburg, Sporthalle ;20056201;LL WB;Landesliga Staffel Süd;VfL Günzburg;TuS Prien;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;15:30;250260;Neusäss, Sporthalle an der Eichenwaldschule;20037501;ÜBOL MB;ÜBOL Staffel S;TSV Neusäss;TV Bad Tölz;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;15:45;250361;Schwabmünchen, Sporthalle an der Grundschule ;20037402;ÜBOL MB;ÜBOL Staffel SW;Schwabmünchen;SG Biessenhofen-Marktoberdorf;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;16:00;250101;Friedberg, Sporthalle des TSV Friedberg;25014502;BZK M;Bezirksklasse Staffel Ost;TSV Friedberg IV;TSV Bobingen II;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;16:00;250440;Vöhringen, Sportpark ;20037403;ÜBOL MB;ÜBOL Staffel SW;SC Vöhringen;JSG Burlafingen/Neu-Ulm;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;16:00;250264;Neu-Ulm, Sporthalle 1 Schulzentrum Pfuhl;20052701;ÜBOL WA;ÜBOL Staffel W;FC Burlafingen;HSG Schwab/kirchen;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;16:15;250220;Meitingen, Sporthalle;20062202;ÜBOL WC;ÜBOL SW;TSV Meitingen;TSV Niederraunau;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;17:00;250160;Ichenhausen, Franziska-Ziehank-Halle ;25014001;BZK M;Bezirksklasse Staffel West;SC Ichenhausen II;SV Mering III;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;17:00;250001;Aichach, Grundschule Aichach-Nord;25013001;BZL M;Bezirksliga M;TSV Aichach II;Schwabmünchen II;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;17:00;250182;Krumbach, Halle Schulzentrum;20031201;LL MA;Landesliga Staffel Süd;TSV Niederraunau;TSV Übersee;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;17:30;250260;Neusäss, Sporthalle an der Eichenwaldschule;25014002;BZK M;Bezirksklasse Staffel West;TSV Neusäss II;TSV Wertingen II;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;17:30;250125;Günzburg, Sporthalle ;20022002;LLF;Landesliga Staffel S;VfL Günzburg;ASV Dachau II;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;17:30;250180;Kissing, Paartal-Halle;20022003;LLF;Landesliga Staffel S;Kissinger SC;SV-DJK Taufkirchen;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;17:30;250120;Gersthofen, Sporthalle Paul-Klee-Gymnasium ;20062203;ÜBOL WC;ÜBOL SW;TSV Gersthofen;BHC Königsbr.09;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;18:00;250121;Göggingen, Anton-Bezler-Halle;25014503;BZK M;Bezirksklasse Staffel Ost;TSV Göggingen II;SV Mering II;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;18:00;250220;Meitingen, Sporthalle;25013002;BZL M;Bezirksliga M;TSV Meitingen;TSV Haunstetten III;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;18:00;250101;Friedberg, Sporthalle des TSV Friedberg;20012001;LLM;Landesliga Staffel S;TSV Friedberg II;TSV München-Ost;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;18:00;250264;Neu-Ulm, Sporthalle 1 Schulzentrum Pfuhl;20057301;ÜBOL WB;ÜBOL Staffel W;FC Burlafingen;JSG Friedberg-Kissing;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;19:15;250120;Gersthofen, Sporthalle Paul-Klee-Gymnasium ;25012001;BZOL M;Bezirksoberliga M;TSV Gersthofen;TSV Niederraunau II;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;19:30;250260;Neusäss, Sporthalle an der Eichenwaldschule;25013003;BZL M;Bezirksliga M;TSV Neusäss;TSV Wertingen;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;19:30;250004;Augsburg, Sporthalle TSV 1871 Augsburg;25012003;BZOL M;Bezirksoberliga M;Augsburg 1871;TSV Aichach;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;19:30;250125;Günzburg, Sporthalle ;25012002;BZOL M;Bezirksoberliga M;VfL Günzburg II;TSV Bobingen;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;19:30;250180;Kissing, Paartal-Halle;25012004;BZOL M;Bezirksoberliga M;Kissinger SC;TSV Haunstetten II;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;19:30;250182;Krumbach, Halle Schulzentrum;20012005;LLM;Landesliga Staffel S;TSV Niederraunau;TSV Simbach;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;20:00;250101;Friedberg, Sporthalle des TSV Friedberg;20010006;BY M;Bayernliga;TSV Friedberg;TSV Ismaning;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;20:00;250121;Göggingen, Anton-Bezler-Halle;25012005;BZOL M;Bezirksoberliga M;TSV Göggingen;TSV Friedberg III;="0:0";="0:0";;;;;;;;
Sun.;17.09.2017;11:00;250101;Friedberg, Sporthalle des TSV Friedberg;20036203;LL MB;Landesliga Staffel Süd;TSV Friedberg;TSV Schleißheim;="0:0";="0:0";;;;;;;;
Sun.;17.09.2017;11:00;250064;Donauwörth, Neudegger-Halle ;20042203;ÜBOL MC;ÜBOL Staffel W;VSC Donauwörth;TSV Aichach;="0:0";="0:0";;;;;;;;
Sun.;17.09.2017;11:15;250008;Haunstetten, Sporthalle  TSV;20037502;ÜBOL MB;ÜBOL Staffel S;TSV Haunstetten;SG Süd/Blumenau;="0:0";="0:0";;;;;;;;
Sun.;17.09.2017;11:30;250181;Königsbrunn, Dreifachhalle;20032202;ÜBOL MA;ÜBOL Staffel SW;BHC Königsbr.09;JSG Burlafingen/Neu-Ulm;="0:0";="0:0";;;;;;;;
Sun.;17.09.2017;13:00;250064;Donauwörth, Neudegger-Halle ;25014003;BZK M;Bezirksklasse Staffel West;VSC Donauwörth II;HSG Lauingen-Wittislingen II;="0:0";="0:0";;;;;;;;
Sun.;17.09.2017;13:00;250181;Königsbrunn, Dreifachhalle;20056203;LL WB;Landesliga Staffel Süd;BHC Königsbr.09;HT München;="0:0";="0:0";;;;;;;;
Sun.;17.09.2017;13:00;250101;Friedberg, Sporthalle des TSV Friedberg;20032203;ÜBOL MA;ÜBOL Staffel SW;TSV Friedberg;TSV Bobingen;="0:0";="0:0";;;;;;;;
Sun.;17.09.2017;13:00;250008;Haunstetten, Sporthalle  TSV;20057302;ÜBOL WB;ÜBOL Staffel W;TSV Haunstetten II;TV Gundelfingen;="0:0";="0:0";;;;;;;;
Sun.;17.09.2017;14:20;250010;Augsburg,TSG - Halle Lechhausen;25014504;BZK M;Bezirksklasse Staffel Ost;TSG Augsburg II;TSV Haunstetten IV;="0:0";="0:0";;;;;;;;
Sun.;17.09.2017;14:30;250222;Mering, Eduard-Ettensberger-Halle;20063601;ÜBL WC;ÜBL Staffel W ;SV Mering;TSV Neusäss;="0:0";="0:0";;;;;;;;
Sun.;17.09.2017;14:45;250008;Haunstetten, Sporthalle  TSV;20055004;BY WB;Bayernliga;TSV Haunstetten;JSG Fürther Land;="0:0";="0:0";;;;;;;;
Sun.;17.09.2017;15:00;250125;Günzburg, Sporthalle ;20041205;LL MC;Landesliga Staffel Süd;VfL Günzburg;TSV Niederraunau;="0:0";="0:0";;;;;;;;
Sun.;17.09.2017;15:00;250064;Donauwörth, Neudegger-Halle ;20032204;ÜBOL MA;ÜBOL Staffel SW;VSC Donauwörth;TSV Aichach;="0:0";="0:0";;;;;;;;
Sun.;17.09.2017;15:15;250124;Gundelfingen,Kreissporthalle ;25014004;BZK M;Bezirksklasse Staffel West;TV Gundelfingen III;TSV Weißenhorn;="0:0";="0:0";;;;;;;;
Sun.;17.09.2017;15:15;250181;Königsbrunn, Dreifachhalle;20037504;ÜBOL MB;ÜBOL Staffel S;BHC Königsbr.09;HSG Isar-Loisach;="0:0";="0:0";;;;;;;;
Sun.;17.09.2017;16:15;250222;Mering, Eduard-Ettensberger-Halle;20043902;ÜBL MC;ÜBL Staffel SW 2 ;SV Mering;TSV Neusäss;="0:0";="0:0";;;;;;;;
Sun.;17.09.2017;16:20;250010;Augsburg,TSG - Halle Lechhausen;25014005;BZK M;Bezirksklasse Staffel West;TSG Augsburg;TSV Bäumenheim;="0:0";="0:0";;;;;;;;
Sun.;17.09.2017;16:30;250008;Haunstetten, Sporthalle  TSV;20022007;LLF;Landesliga Staffel S;TSV Haunstetten II;TV Gundelfingen;="0:0";="0:0";;;;;;;;
Sun.;17.09.2017;17:00;250009;Augsburg-Hochzoll, DJK-Sporthalle ;25014505;BZK M;Bezirksklasse Staffel Ost;DJK Augsburg-Hochzoll;Augsburg 1871 II;="0:0";="0:0";;;;;;;;
Sun.;17.09.2017;17:00;250181;Königsbrunn, Dreifachhalle;25013004;BZL M;Bezirksliga M;BHC Königsbr.09;HSG Lauingen-Wittislingen;="0:0";="0:0";;;;;;;;
Sun.;17.09.2017;17:00;250124;Gundelfingen,Kreissporthalle ;25013005;BZL M;Bezirksliga M;TV Gundelfingen II;SC Ichenhausen;="0:0";="0:0";;;;;;;;
Sun.;17.09.2017;17:00;250064;Donauwörth, Neudegger-Halle ;25012006;BZOL M;Bezirksoberliga M;VSC Donauwörth;Schwabmünchen;="0:0";="0:0";;;;;;;;
Sun.;17.09.2017;18:00;250222;Mering, Eduard-Ettensberger-Halle;20058501;ÜBL WB;ÜBL Staffel SO 2 ;SV Mering;TSV Aichach;="0:0";="0:0";;;;;;;;
Sat.;23.09.2017;13:00;250222;Mering, Eduard-Ettensberger-Halle;25067001;BZOL WD;Bezirksoberliga;TSV Meitingen;SV Mering;="0:0";="0:0";;;;;;;;
Sat.;23.09.2017;14:00;250222;Mering, Eduard-Ettensberger-Halle;25067002;BZOL WD;Bezirksoberliga;TSV Meitingen;SC Vöhringen;="0:0";="0:0";;;;;;;;
Sat.;23.09.2017;14:00;250008;Haunstetten, Sporthalle  TSV;20022008;LLF;Landesliga Staffel S;TSV Haunstetten II;Kissinger SC;="0:0";="0:0";;;;;;;;
Sat.;23.09.2017;14:00;250261;Neusäss, Sporthalle Realschule;20063602;ÜBL WC;ÜBL Staffel W ;TSV Neusäss;FC Burlafingen II;="0:0";="0:0";;;;;;;;
Sat.;23.09.2017;14:15;250361;Schwabmünchen, Sporthalle an der Grundschule ;20037406;ÜBOL MB;ÜBOL Staffel SW;Schwabmünchen;TSV Landsberg;="0:0";="0:0";;;;;;;;
Sat.;23.09.2017;15:00;250000;Aichach, Sporthalle Gymnasium;25013006;BZL M;Bezirksliga M;TSV Aichach II;SV Mering;="0:0";="0:0";;;;;;;;
Sat.;23.09.2017;15:00;250222;Mering, Eduard-Ettensberger-Halle;25067003;BZOL WD;Bezirksoberliga;SC Vöhringen;SV Mering;="0:0";="0:0";;;;;;;;
Sat.;23.09.2017;16:00;250361;Schwabmünchen, Sporthalle an der Grundschule ;25014506;BZK M;Bezirksklasse Staffel Ost;Schwabmünchen III;TSV Bobingen II;="0:0";="0:0";;;;;;;;
Sat.;23.09.2017;16:00;250440;Vöhringen, Sportpark ;20061005;LL WC;Landesliga Staffel Nord;SC Vöhringen;Tuspo Heroldsberg;="0:0";="0:0";;;;;;;;
Sat.;23.09.2017;16:00;250008;Haunstetten, Sporthalle  TSV;20051204;LL WA;Landesliga Staffel Süd;TSV Haunstetten;TSV Allach 09;="0:0";="0:0";;;;;;;;
Sat.;23.09.2017;16:00;250182;Krumbach, Halle Schulzentrum;20062205;ÜBOL WC;ÜBOL SW;TSV Niederraunau;HSG Schwab/kirchen;="0:0";="0:0";;;;;;;;
Sat.;23.09.2017;16:00;250120;Gersthofen, Sporthalle Paul-Klee-Gymnasium ;20062206;ÜBOL WC;ÜBOL SW;TSV Gersthofen;SG Biessenhofen-Marktoberdorf;="0:0";="0:0";;;;;;;;
Sat.;23.09.2017;16:30;250180;Kissing, Paartal-Halle;20057303;ÜBOL WB;ÜBOL Staffel W;JSG Friedberg-Kissing;TV Gundelfingen;="0:0";="0:0";;;;;;;;
Sat.;23.09.2017;17:30;250461;Wertingen, Sporthalle Gymnasium Wertingen;25014006;BZK M;Bezirksklasse Staffel West;TSV Wertingen II;SC Ichenhausen II;="0:0";="0:0";;;;;;;;
Sat.;23.09.2017;17:30;250182;Krumbach, Halle Schulzentrum;20031204;LL MA;Landesliga Staffel Süd;TSV Niederraunau;HT München;="0:0";="0:0";;;;;;;;
Sat.;23.09.2017;18:00;250361;Schwabmünchen, Sporthalle an der Grundschule ;25012007;BZOL M;Bezirksoberliga M;Schwabmünchen;TSV Bobingen;="0:0";="0:0";;;;;;;;
Sat.;23.09.2017;18:30;250180;Kissing, Paartal-Halle;25014507;BZK M;Bezirksklasse Staffel Ost;Kissinger SC II;TSV Friedberg IV;="0:0";="0:0";;;;;;;;
Sat.;23.09.2017;18:30;250011;Augsburg,Hans-Adlhoch-Halle Augsburg-Pfersee;25014508;BZK M;Bezirksklasse Staffel Ost;PSV  Aug.;SV Mering II;="0:0";="0:0";;;;;;;;
Sat.;23.09.2017;19:00;250063;Dinkelscherben,Sporthalle Reischenau ;25014007;BZK M;Bezirksklasse Staffel West;Dinkelscherben;TSG Augsburg;="0:0";="0:0";;;;;;;;
Sat.;23.09.2017;19:00;250201;Leipheim, Güssen-Halle;25022001;BZOL F;Bezirksoberliga F;VfL Leipheim;Schwabmünchen;="0:0";="0:0";;;;;;;;
Sat.;23.09.2017;19:00;250101;Friedberg, Sporthalle des TSV Friedberg;25012008;BZOL M;Bezirksoberliga M;TSV Friedberg III;Augsburg 1871;="0:0";="0:0";;;;;;;;
Sat.;23.09.2017;19:15;250160;Ichenhausen, Franziska-Ziehank-Halle ;25013007;BZL M;Bezirksliga M;SC Ichenhausen;BHC Königsbr.09;="0:0";="0:0";;;;;;;;
Sat.;23.09.2017;19:30;250004;Augsburg, Sporthalle TSV 1871 Augsburg;25014509;BZK M;Bezirksklasse Staffel Ost;Augsburg 1871 II;TSG Augsburg II;="0:0";="0:0";;;;;;;;
Sat.;23.09.2017;19:30;250020;Bäumenheim, Mehrzweckhalle ;25014008;BZK M;Bezirksklasse Staffel West;TSV Bäumenheim;TV Gundelfingen III;="0:0";="0:0";;;;;;;;
Sat.;23.09.2017;19:30;250461;Wertingen, Sporthalle Gymnasium Wertingen;25013008;BZL M;Bezirksliga M;TSV Wertingen;TV Gundelfingen II;="0:0";="0:0";;;;;;;;
Sat.;23.09.2017;19:30;250182;Krumbach, Halle Schulzentrum;25012009;BZOL M;Bezirksoberliga M;TSV Niederraunau II;Kissinger SC;="0:0";="0:0";;;;;;;;
Sat.;23.09.2017;20:00;250008;Haunstetten, Sporthalle  TSV;20010011;BY M;Bayernliga;TSV Haunstetten;TSV Friedberg;="0:0";="0:0";;;;;;;;
Sat.;23.09.2017;20:00;250361;Schwabmünchen, Sporthalle an der Grundschule ;25013009;BZL M;Bezirksliga M;Schwabmünchen II;HSG Lauingen-Wittislingen;="0:0";="0:0";;;;;;;;
Sun.;24.09.2017;10:00;250361;Schwabmünchen, Sporthalle an der Grundschule ;25068001;BZL WD;Bezirksliga;Schwabmünchen II;TSV Aichach;="0:0";="0:0";;;;;;;;
Sun.;24.09.2017;10:30;250181;Königsbrunn, Dreifachhalle;20042204;ÜBOL MC;ÜBOL Staffel W;BHC Königsbr.09;TSV Aichach;="0:0";="0:0";;;;;;;;
Sun.;24.09.2017;10:45;250008;Haunstetten, Sporthalle  TSV;20057304;ÜBOL WB;ÜBOL Staffel W;TSV Haunstetten II;Schwabmünchen;="0:0";="0:0";;;;;;;;
Sun.;24.09.2017;11:00;250361;Schwabmünchen, Sporthalle an der Grundschule ;25068002;BZL WD;Bezirksliga;TSV Haunstetten;TSV Aichach;="0:0";="0:0";;;;;;;;
Sun.;24.09.2017;11:00;250000;Aichach, Sporthalle Gymnasium;20051205;LL WA;Landesliga Staffel Süd;TSV Aichach;PSV München;="0:0";="0:0";;;;;;;;
Sun.;24.09.2017;11:00;250222;Mering, Eduard-Ettensberger-Halle;20038701;ÜBL MB;ÜBL Staffel SW 2 ;SV Mering;VSC Donauwörth;="0:0";="0:0";;;;;;;;
